feature,importance,rf_rank,p_value,test_type,stat_rank,combined_score
time,0.35139378414254224,1.0,2.3432761217968953e-22,t_test,1.0,2.0
ejection_fraction,0.12165343396165576,3.0,9.647152798521773e-06,t_test,2.0,5.0
serum_creatinine,0.13594886305778425,2.0,6.398962339971595e-05,t_test,4.0,6.0
age,0.09286758520387613,4.0,4.7352145176592654e-05,t_test,3.0,7.0
creatinine_phosphokinase,0.08259222574942915,5.0,0.36921596064201445,t_test,6.0,11.0
serum_sodium,0.07367435645374203,7.0,0.0018723248301232341,t_test,5.0,12.0
diabetes,0.013183489181203916,8.0,1.0,chi_square,4.0,12.0
anaemia,0.012685258766212817,10.0,0.3073160508415107,chi_square,2.0,12.0
platelets,0.08022769270825557,6.0,0.39932313208796466,t_test,7.0,13.0
sex,0.01289035642927747,9.0,1.0,chi_square,4.0,13.0
high_blood_pressure,0.011429278072488619,12.0,0.21410341199416905,chi_square,1.0,13.0
smoking,0.01145367627353202,11.0,0.9317652998235507,chi_square,3.0,14.0
